htmlBody,hexadecimalURLs,domainsCount,textLinkDifference,dotsCount,isAccountTerm,isDearTeam,imagesAsURL,ipUrls,isPayPalTerm,isLoginTerm,isBankTerm,isVerifyTerm,isAgreeTerm,isSuspendTerm,phishingTermsWeight,isPhishing
1,0,0,0,0,0,0,121,0,1,0,0,0,0,0,10,0
1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,16,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,6,0,0,0,0,0,1,0,10,0
1,0,0,0,0,0,0,66,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,223,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,10,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,83,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,136,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,48,0,0,0,0,0,0,0,10,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,114,0,1,0,0,0,0,0,10,0
1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,1,53,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,85,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,115,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,86,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,27,0,0,1,0,0,0,0,10,0
1,0,0,0,0,0,0,79,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,140,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,40,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,1,70,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10,0
1,0,0,0,0,1,0,11,0,0,0,0,1,0,0,10,0
1,0,0,0,0,0,0,81,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,37,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,10,0
1,0,0,0,0,0,0,88,0,0,0,0,0,0,0,10,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,75,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,28,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,1,77,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,106,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,6,0,0,0,0,0,1,0,10,0
1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,60,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,140,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,50,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,16,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,16,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,17,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,16,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,1,78,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,115,0,1,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,64,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,115,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,1,44,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,1,53,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0
1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0
1,0,0,0,0,0,0,56,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,147,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,16,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,10,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,6,0,0,0,0,0,1,0,10,0
1,0,0,0,0,0,1,10,0,0,0,0,0,1,0,10,0
1,0,0,0,0,1,0,49,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,115,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,16,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0
1,0,0,0,0,0,1,116,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,12,0,0,1,0,0,0,0,10,0
1,0,0,0,0,1,0,17,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,1,99,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0
1,0,0,0,0,0,0,63,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,110,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,1,115,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,28,0,0,0,0,1,0,0,10,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,140,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,43,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,118,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,1,108,0,1,0,0,0,0,0,10,0
1,0,0,0,0,0,0,93,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,115,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,49,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,17,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,82,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,109,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,18,0,0,0,0,0,1,0,10,0
1,0,0,0,0,0,0,63,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,118,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,122,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,140,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,1,62,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,115,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,113,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,1,10,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,142,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,16,0,1,0,0,0,0,0,10,0
1,0,0,0,0,0,0,49,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0
1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,6,0,0,0,0,0,1,0,10,0
1,0,0,0,0,0,1,73,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,1,74,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,37,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,16,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0
1,0,0,0,0,1,0,16,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,1,94,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,1,82,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,118,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0
1,0,0,0,0,0,1,80,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,142,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,117,0,1,0,0,0,0,0,10,0
1,0,0,0,0,1,0,23,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,90,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,135,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,79,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,140,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,1,98,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,17,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,17,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,117,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,87,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,52,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,48,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,16,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,1,53,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,117,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,10,0
1,0,0,0,0,0,1,53,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,115,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,47,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,10,0
1,0,0,0,0,0,1,97,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,10,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,1,80,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,91,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,1,97,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
